epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2832.18,1.29661,1.869,1.29993,0.4987,0.21102,0.30211,0.12961,2.02453,3.37899,2.19515,0.0005941,0.0005941,0.0005941
43,2874.79,1.23192,1.77684,1.21589,0.57779,0.20769,0.29564,0.13202,2.03428,3.3524,2.19766,0.0005842,0.0005842,0.0005842
44,2918.04,1.27066,1.83992,1.27282,0.58122,0.17074,0.2721,0.11137,2.12402,3.24238,2.23113,0.0005743,0.0005743,0.0005743
45,2960.12,1.30868,1.65133,1.21387,0.61074,0.18078,0.335,0.13321,2.19259,3.18928,2.24654,0.0005644,0.0005644,0.0005644
46,2999.68,1.30913,1.64026,1.2469,0.67768,0.17122,0.32921,0.12616,2.15662,3.17203,2.21158,0.0005545,0.0005545,0.0005545
47,3038.54,1.20264,1.6035,1.25679,0.44255,0.25712,0.30907,0.12042,2.11242,3.14558,2.20054,0.0005446,0.0005446,0.0005446
48,3078.52,1.25398,1.66859,1.23098,0.64727,0.2291,0.30414,0.13691,2.10263,3.11852,2.18884,0.0005347,0.0005347,0.0005347
49,3118.43,1.20868,1.61956,1.23473,0.6064,0.31282,0.26585,0.13635,2.09464,3.11323,2.20731,0.0005248,0.0005248,0.0005248
50,3157.34,1.22421,1.51848,1.22371,0.55944,0.2359,0.27069,0.13227,2.03076,3.11792,2.13132,0.0005149,0.0005149,0.0005149
51,3197.29,1.19522,1.54667,1.21471,0.55078,0.23007,0.27484,0.1309,2.09688,3.07298,2.20635,0.000505,0.000505,0.000505
52,3233.14,1.13139,1.49154,1.18779,0.33037,0.36861,0.32234,0.13567,2.16533,3.11037,2.28784,0.0004951,0.0004951,0.0004951
53,3270.59,1.09401,1.47387,1.18492,0.3211,0.32976,0.28156,0.14377,2.14292,3.08052,2.28791,0.0004852,0.0004852,0.0004852
54,3315.78,1.18232,1.55743,1.16824,0.37405,0.33675,0.34287,0.15263,2.03377,3.12569,2.17037,0.0004753,0.0004753,0.0004753
55,3356.68,1.16335,1.50156,1.18657,0.76393,0.21878,0.33535,0.15047,2.01438,3.1825,2.11637,0.0004654,0.0004654,0.0004654
56,3396.86,1.25408,1.43598,1.23702,0.74204,0.20769,0.31461,0.15055,1.9119,3.29207,1.95411,0.0004555,0.0004555,0.0004555
57,3441.5,1.13376,1.46166,1.1963,0.74865,0.2141,0.32717,0.14494,1.98719,3.22723,2.01809,0.0004456,0.0004456,0.0004456
58,3482.87,1.09841,1.34803,1.17138,0.73942,0.22949,0.31812,0.14525,2.04323,3.22915,2.07776,0.0004357,0.0004357,0.0004357
59,3525.37,1.1262,1.36544,1.17436,0.74359,0.22949,0.32126,0.14126,2.15778,3.13984,2.18308,0.0004258,0.0004258,0.0004258
60,3568.11,1.11329,1.41644,1.18341,0.41883,0.35128,0.30068,0.12619,2.28164,3.19998,2.34357,0.0004159,0.0004159,0.0004159
61,3615.52,1.06765,1.35919,1.16838,0.25903,0.35128,0.29422,0.1274,2.29854,3.23918,2.31616,0.000406,0.000406,0.000406
62,3654.93,1.06686,1.36319,1.16361,0.35848,0.27814,0.29153,0.13494,2.28741,3.16327,2.28811,0.0003961,0.0003961,0.0003961
63,3694.91,1.09616,1.3102,1.17439,0.42301,0.27015,0.29241,0.12909,2.25358,3.20756,2.22884,0.0003862,0.0003862,0.0003862
64,3739.8,1.04671,1.26358,1.13208,0.48668,0.25256,0.25223,0.08782,2.20621,3.18791,2.11343,0.0003763,0.0003763,0.0003763
65,3778.17,1.07902,1.22557,1.14608,0.48495,0.23718,0.25633,0.10788,2.22535,3.16876,2.09437,0.0003664,0.0003664,0.0003664
66,3816,1.00524,1.26119,1.10865,0.79428,0.11078,0.25891,0.11522,2.23527,3.17046,2.09127,0.0003565,0.0003565,0.0003565
67,3861.39,1.05407,1.30405,1.15407,0.78079,0.11538,0.26074,0.11108,2.22663,3.18631,2.0768,0.0003466,0.0003466,0.0003466
68,3903.54,1.09831,1.32716,1.21708,0.69941,0.11538,0.2007,0.09353,2.23144,3.18812,2.08799,0.0003367,0.0003367,0.0003367
69,3944.35,1.04401,1.27854,1.14392,0.70917,0.11538,0.21331,0.09709,2.22438,3.17853,2.11457,0.0003268,0.0003268,0.0003268
70,3991.33,1.04325,1.24296,1.13634,0.62095,0.16923,0.28033,0.1389,2.22357,3.19567,2.13514,0.0003169,0.0003169,0.0003169
71,4035.68,0.9365,1.18461,1.10811,0.64006,0.26154,0.27768,0.1325,2.16768,3.16933,2.10454,0.000307,0.000307,0.000307
72,4072.24,1.00405,1.21185,1.13005,0.59144,0.24231,0.35428,0.13921,2.1259,3.14428,2.07985,0.0002971,0.0002971,0.0002971
73,4108.1,0.98719,1.23638,1.10138,0.62665,0.22949,0.35046,0.13817,2.14206,3.08822,2.08741,0.0002872,0.0002872,0.0002872
74,4145.1,0.9697,1.19054,1.12553,0.63403,0.22949,0.28811,0.13304,2.13624,3.07701,2.07568,0.0002773,0.0002773,0.0002773
75,4187.21,1.02106,1.15389,1.12198,0.59801,0.27436,0.34562,0.14002,2.11313,3.06358,2.0672,0.0002674,0.0002674,0.0002674
76,4229.33,1.00386,1.12694,1.11808,0.4763,0.30271,0.34469,0.14906,2.07174,3.07965,2.05735,0.0002575,0.0002575,0.0002575
77,4271.54,0.98781,1.17313,1.12927,0.57995,0.30915,0.34959,0.15911,2.0781,3.10999,2.08434,0.0002476,0.0002476,0.0002476
78,4311.72,0.96056,1.1248,1.08222,0.55916,0.30178,0.34381,0.15409,1.99747,3.1003,2.04895,0.0002377,0.0002377,0.0002377
79,4354.24,0.94546,1.06559,1.07232,0.62363,0.29744,0.33156,0.1463,1.97435,3.09662,2.04036,0.0002278,0.0002278,0.0002278
80,4394.26,0.99148,1.13508,1.0857,0.61241,0.32949,0.33409,0.15352,1.99337,3.10141,2.06235,0.0002179,0.0002179,0.0002179
81,4432.02,0.88153,1.08482,1.06352,0.61729,0.40544,0.34566,0.15622,2.02486,3.07149,2.08287,0.000208,0.000208,0.000208
82,4474.74,0.96868,1.11142,1.10387,0.60965,0.41759,0.39268,0.17405,2.04793,3.0362,2.10813,0.0001981,0.0001981,0.0001981
83,4521.85,0.93526,1.09924,1.12157,0.62694,0.38823,0.39755,0.16967,2.08432,3.01964,2.12927,0.0001882,0.0001882,0.0001882
84,4565.85,0.89912,1.08771,1.0799,0.5188,0.38835,0.39894,0.15789,2.11011,3.04864,2.17421,0.0001783,0.0001783,0.0001783
85,4606.98,0.93847,1.12766,1.12472,0.50152,0.35451,0.39714,0.15683,2.1158,3.08481,2.17719,0.0001684,0.0001684,0.0001684
86,4646.91,0.9229,1.10657,1.10432,0.53035,0.32949,0.39423,0.15625,2.11906,3.10594,2.17031,0.0001585,0.0001585,0.0001585
87,4682.72,0.87814,1.03857,1.05591,0.5622,0.38359,0.40916,0.16326,2.13458,3.15311,2.16718,0.0001486,0.0001486,0.0001486
88,4725.82,0.92646,1.08316,1.05959,0.56075,0.38377,0.40859,0.17025,2.13951,3.13956,2.16229,0.0001387,0.0001387,0.0001387
89,4765.62,0.8922,1.04362,1.03712,0.56461,0.39067,0.41148,0.17073,2.12897,3.09988,2.15948,0.0001288,0.0001288,0.0001288
90,4803.79,0.88888,1.03607,1.05964,0.52734,0.307,0.34116,0.15821,2.13282,3.07941,2.16238,0.0001189,0.0001189,0.0001189
91,4845.83,0.97963,1.30054,1.19108,0.52098,0.30665,0.34042,0.16319,2.14302,3.03227,2.15849,0.000109,0.000109,0.000109
92,4885.25,0.86128,1.06194,1.08267,0.47922,0.29282,0.35118,0.16664,2.16733,3.08251,2.15275,9.91e-05,9.91e-05,9.91e-05
93,4923.56,0.88073,1.08166,1.07599,0.4979,0.30344,0.3003,0.15888,2.16718,3.07044,2.15222,8.92e-05,8.92e-05,8.92e-05
94,4965.7,0.91927,1.118,1.13787,0.47954,0.29813,0.29947,0.15847,2.1397,3.07401,2.14814,7.93e-05,7.93e-05,7.93e-05
95,5004.88,0.79802,1.02889,1.02039,0.46818,0.24615,0.29223,0.14385,2.08559,3.13694,2.12848,6.94e-05,6.94e-05,6.94e-05
96,5039.85,0.8091,1.03935,1.06481,0.45651,0.24615,0.30546,0.15196,2.08004,3.17342,2.12911,5.95e-05,5.95e-05,5.95e-05
97,5079.41,0.83228,1.04862,1.06594,0.45662,0.24615,0.297,0.14858,2.08431,3.17595,2.13821,4.96e-05,4.96e-05,4.96e-05
98,5125.29,0.8195,1.04003,1.03234,0.45664,0.24615,0.29392,0.14627,2.09831,3.17895,2.15448,3.97e-05,3.97e-05,3.97e-05
99,5165.07,0.8253,1.02406,1.02662,0.45767,0.24615,0.2971,0.14571,2.09961,3.18492,2.1558,2.98e-05,2.98e-05,2.98e-05
100,5205.66,0.77024,1.03062,1.05693,0.4876,0.24615,0.29361,0.14013,2.10933,3.17319,2.16294,1.99e-05,1.99e-05,1.99e-05
